Poverty (Families below poverty) for California by County
"All Races (includes Hispanic/Latino), Both Sexes, All Ages, 2017-2021"
Sorted by Value

County, FIPS,Value (Percent),Families (Below Poverty),Rank within US (of 3142 counties)
"United States",00000,8.9,7181779,"N/A"
"California",06000,8.7,791378,"31 of 51"
"Imperial County",06025,18.0,6071,"2,887"
"Tulare County",06107,16.4,17845,"2,783"
"Merced County",06047,16.3,10093,"2,777"
"Fresno County",06019,16.1,36437,"2,756"
"Kern County",06029,15.6,31709,"2,707"
"Madera County",06039,14.6,5019,"2,613"
"Kings County",06031,13.8,4672,"2,512"
"Trinity County",06105,12.9,365,"2,400"
"Tehama County",06103,12.6,2096,"2,347"
"Yuba County",06115,11.8,2222,"2,191"
"Del Norte County",06015,11.8,734,"2,182"
"Modoc County",06049,11.6,258,"2,146"
"Lake County",06033,11.6,1862,"2,135"
"Mendocino County",06045,11.5,2390,"2,119"
"San Bernardino County",06071,11.3,56022,"2,069"
"Humboldt County",06023,11.1,3231,"2,034"
"Glenn County",06021,10.8,759,"1,960"
"Colusa County",06011,10.8,535,"1,958"
"Stanislaus County",06099,10.6,13882,"1,918"
"Sutter County",06101,10.6,2476,"1,898"
"San Joaquin County",06077,10.5,18516,"1,889"
"Butte County",06007,10.5,5366,"1,886"
"Lassen County",06035,10.4,640,"1,855"
"Los Angeles County",06037,10.2,226414,"1,818"
"Siskiyou County",06093,9.9,1088,"1,737"
"Calaveras County",06009,9.8,1212,"1,730"
"Sacramento County",06067,9.6,35387,"1,658"
"Riverside County",06065,9.1,49607,"1,524"
"Shasta County",06089,9.0,4180,"1,494"
"Monterey County",06053,8.9,8407,"1,468"
"Mono County",06051,7.8,253,"1,148"
"Mariposa County",06043,7.7,345,"1,126"
"Inyo County",06027,7.5,329,"1,059"
"Santa Barbara County",06083,7.4,7192,"1,049"
"Yolo County",06113,7.3,3529,"1,019"
"San Diego County",06073,7.2,54821,"981"
"Plumas County",06063,7.0,365,"935"
"Orange County",06059,7.0,52548,"923"
"Alpine County",06003,6.3,18,"713"
"Ventura County",06111,6.2,12278,"692"
"Solano County",06095,6.2,6768,"688"
"San Luis Obispo County",06079,6.0,4094,"635"
"San Benito County",06069,5.9,905,"609"
"Nevada County",06057,5.9,1540,"606"
"El Dorado County",06017,5.9,3062,"596"
"Santa Cruz County",06087,5.9,3595,"586"
"Contra Costa County",06013,5.9,17046,"584"
"Tuolumne County",06109,5.7,797,"550"
"San Francisco County",06075,5.6,9586,"525"
"Alameda County",06001,5.5,21336,"508"
"Napa County",06055,5.1,1715,"427"
"Sonoma County",06097,5.1,6108,"412"
"Placer County",06061,4.8,5071,"343"
"Amador County",06005,4.4,436,"267"
"Santa Clara County",06085,4.0,18560,"213"
"San Mateo County",06081,3.8,7092,"180"
"Marin County",06041,3.8,2471,"167"
"Sierra County",06091,3.2,23,"92"

Suggested Citation:
HDPulse: An Ecosystem of Minority Health and Health Disparities Resources. National Institute on Minority Health and Health Disparities. Created 3/31/2024. Available from https://hdpulse.nimhd.nih.gov

Notes:
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Poverty (Families below poverty), see the dictionary at http://hdpulse.nimhd.nih.gov/data/dictionary.php#poverty."
